client,month_signed,monthly_price,dashboard,dedicated_rep,signal_sessions_per_month,social_platforms,website_included,video_included,stated_discount_label,contract_term,termination_notice
Lawn Doctor (multi-location + prepaid),2026-01,550,yes,yes,0,0,no,no,multi-location + annual prepay,annual,n/a
Lawn Doctor (multi-location),2026-01,600,yes,yes,0,0,no,no,multi-location,annual,n/a
Lawn Doctor (single),2026-01,650,yes,yes,0,0,no,no,partner discount (active client),annual,n/a
AiR stated list price,,750,yes,yes,0,0,no,no,none,annual,n/a
CIS Office Furniture,2026-07,1200,yes,yes,0,0,no,yes,Neighbor partner rate,month-to-month,7 days
Kobico,2026-05,1500,yes,yes,2,0,no,no,none,month-to-month,7 days
CMP (proposed - 1 office),2026-08,1500,yes,yes,1,0,yes,no,base rate,6 months then monthly,n/a
CMP (proposed - 2 offices),2026-08,1250,yes,yes,1,0,yes,no,per-office tier,6 months then monthly,n/a
CMP (proposed - 3 offices),2026-08,1000,yes,yes,1,0,yes,no,per-office tier,6 months then monthly,n/a
Mill Forest Dental Group,2026-08,2200,yes,yes,2,2,yes,no,none,month-to-month,7 days
